frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
0,2026-06-17T12:37:38.866,1.38,1.35,723.17,9,2,1,1,1,1,0,2,1
1,2026-06-17T12:37:39.798,2.91,1.07,343.87,8,1,1,1,1,1,0,2,1
2,2026-06-17T12:37:40.233,3.4,2.27,293.88,8,1,1,1,1,1,0,2,1
3,2026-06-17T12:37:40.602,3.77,2.72,265.01,8,1,1,1,1,1,0,2,1
4,2026-06-17T12:37:40.976,3.72,2.7,268.46,8,1,1,1,1,1,0,2,1
5,2026-06-17T12:37:41.315,3.75,2.91,266.68,8,1,1,1,1,1,0,2,1
6,2026-06-17T12:37:41.639,4.02,3.11,248.58,8,1,1,1,1,1,0,2,1
7,2026-06-17T12:37:41.986,3.68,2.86,271.54,8,1,1,1,1,1,0,2,1
8,2026-06-17T12:37:42.361,3.54,2.7,282.28,8,1,1,1,1,1,0,2,1
9,2026-06-17T12:37:42.717,3.68,2.77,271.82,8,1,1,1,1,1,0,2,1
10,2026-06-17T12:37:43.053,3.87,2.98,258.34,8,1,1,1,1,1,0,2,1
11,2026-06-17T12:37:43.375,4.17,3.11,239.59,8,1,1,1,1,1,0,2,1
12,2026-06-17T12:37:43.757,3.39,2.67,294.61,7,1,1,1,1,1,0,1,1
13,2026-06-17T12:37:44.109,3.68,2.79,271.43,7,1,1,1,1,1,0,1,1
14,2026-06-17T12:37:44.464,3.63,2.81,275.2,8,1,1,1,1,1,0,2,1
15,2026-06-17T12:37:44.809,3.72,2.9,268.85,7,1,1,1,1,1,0,1,1
16,2026-06-17T12:37:45.178,3.48,2.75,287.31,8,1,1,1,1,1,0,2,1
17,2026-06-17T12:37:45.531,3.64,2.79,274.86,8,1,1,1,1,1,0,2,1
18,2026-06-17T12:37:45.878,3.72,2.88,269.04,6,1,1,1,1,0,0,1,1
19,2026-06-17T12:37:46.218,3.8,2.94,263.21,7,1,1,1,1,1,0,1,1
20,2026-06-17T12:37:46.567,3.87,2.94,258.57,8,1,1,1,1,1,0,2,1
21,2026-06-17T12:37:46.922,3.77,2.76,265.12,8,1,1,1,1,1,0,2,1
22,2026-06-17T12:37:47.312,3.4,2.56,294.31,7,1,1,1,1,0,0,2,1
23,2026-06-17T12:37:47.665,3.7,2.83,270.55,7,1,1,1,1,0,0,2,1
24,2026-06-17T12:37:47.998,4.03,3.05,247.99,8,1,1,1,1,1,0,2,1
25,2026-06-17T12:37:48.348,3.6,2.82,277.67,8,1,1,1,1,1,0,2,1
26,2026-06-17T12:37:48.729,3.29,2.63,303.58,8,1,1,1,1,0,2,2,0
27,2026-06-17T12:37:49.081,3.73,2.84,268.19,8,1,1,1,1,0,1,2,1
28,2026-06-17T12:37:49.423,3.96,2.96,252.57,10,2,1,1,1,1,1,3,0
29,2026-06-17T12:37:49.811,3.32,2.55,300.84,9,1,1,1,1,1,2,2,0
30,2026-06-17T12:37:50.186,3.52,2.67,283.73,7,1,1,1,1,1,0,2,0
31,2026-06-17T12:37:50.544,3.64,2.79,274.5,8,2,1,1,1,1,0,2,0
32,2026-06-17T12:37:50.899,3.73,2.86,267.8,9,2,1,1,1,1,0,3,0
33,2026-06-17T12:37:51.266,3.57,2.68,279.96,9,2,1,1,1,1,0,3,0
34,2026-06-17T12:37:51.633,3.47,2.73,288.44,9,1,1,1,1,1,0,3,1
35,2026-06-17T12:37:51.983,3.75,2.85,267.0,9,1,1,1,1,1,0,3,1
36,2026-06-17T12:37:52.334,3.66,2.88,273.35,9,1,1,1,1,1,0,3,1
37,2026-06-17T12:37:52.691,3.5,2.77,285.75,9,1,1,1,1,1,0,3,1
38,2026-06-17T12:37:53.039,3.65,2.87,274.24,9,1,1,1,1,1,0,3,1
39,2026-06-17T12:37:53.373,3.88,2.99,257.96,9,1,1,1,1,1,0,3,1
40,2026-06-17T12:37:53.742,3.49,2.75,286.43,9,1,1,1,1,1,0,3,1
41,2026-06-17T12:37:54.085,3.86,2.88,259.09,9,1,1,1,1,1,0,3,1
42,2026-06-17T12:37:54.432,3.79,2.88,263.91,9,1,1,1,1,1,0,3,1
43,2026-06-17T12:37:54.788,3.57,2.81,280.29,9,1,1,1,1,1,0,3,1
44,2026-06-17T12:37:55.152,3.56,2.8,280.75,9,1,1,1,1,1,0,3,1
45,2026-06-17T12:37:55.505,3.67,2.78,272.65,9,1,1,1,1,1,0,3,1
46,2026-06-17T12:37:55.868,3.48,2.75,287.39,9,1,1,1,1,1,0,3,1
47,2026-06-17T12:37:56.217,3.69,2.86,270.91,9,1,1,1,1,1,0,3,1
48,2026-06-17T12:37:56.577,3.68,2.82,271.8,9,1,1,1,1,1,0,3,1
49,2026-06-17T12:37:56.930,3.65,2.8,273.92,9,1,1,1,1,1,0,3,1
50,2026-06-17T12:37:57.304,3.47,2.66,287.89,9,1,1,1,1,1,0,3,1
51,2026-06-17T12:37:57.650,3.82,2.91,262.0,9,1,1,1,1,1,0,3,1
52,2026-06-17T12:37:58.010,3.67,2.81,272.74,9,1,1,1,1,1,0,3,1
53,2026-06-17T12:37:58.359,3.7,2.82,270.49,9,1,1,1,1,1,0,3,1
54,2026-06-17T12:37:58.739,3.3,2.63,303.1,9,1,1,1,1,1,0,3,1
55,2026-06-17T12:37:59.094,3.64,2.82,274.41,9,1,1,1,1,1,0,3,1
56,2026-06-17T12:37:59.440,3.79,2.94,264.11,9,1,1,1,1,1,0,3,1
57,2026-06-17T12:37:59.785,3.71,2.85,269.31,9,1,1,1,1,1,0,3,1
58,2026-06-17T12:38:00.119,3.83,2.99,261.06,8,1,1,1,1,1,0,3,0
59,2026-06-17T12:38:00.484,3.53,2.74,283.37,8,1,1,1,1,1,0,3,0
60,2026-06-17T12:38:00.825,3.87,2.98,258.38,9,1,1,1,1,1,0,3,1
61,2026-06-17T12:38:01.152,3.9,3.0,256.09,9,1,1,1,1,1,0,3,1
62,2026-06-17T12:38:01.497,3.78,2.9,264.29,9,1,1,1,1,1,0,3,1
63,2026-06-17T12:38:01.842,3.76,2.91,265.85,9,1,1,1,1,1,0,3,1
64,2026-06-17T12:38:02.200,3.63,2.83,275.32,9,1,1,1,1,1,0,3,1
65,2026-06-17T12:38:02.599,3.08,2.47,324.61,9,1,1,1,1,1,0,3,1
66,2026-06-17T12:38:02.942,3.78,2.91,264.54,9,1,1,1,1,1,1,2,1
67,2026-06-17T12:38:03.289,3.78,2.88,264.24,9,1,1,1,1,1,0,3,1
68,2026-06-17T12:38:03.609,4.29,3.18,233.2,9,1,1,1,1,1,0,3,1
69,2026-06-17T12:38:03.906,4.5,3.31,222.3,9,1,1,1,1,1,0,3,1
