frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
0,2026-06-17T12:34:31.389,2.17,1.92,461.53,3,0,0,0,1,0,0,2,0
1,2026-06-17T12:34:35.421,2.94,0.25,339.92,2,0,0,0,0,0,0,2,0
2,2026-06-17T12:34:35.651,6.59,4.24,151.78,1,0,0,0,0,0,0,1,0
3,2026-06-17T12:34:35.855,7.26,4.87,137.8,1,0,0,0,0,0,0,1,0
4,2026-06-17T12:34:36.048,7.57,5.16,132.11,1,0,0,0,0,0,0,1,0
5,2026-06-17T12:34:36.245,7.36,5.09,135.89,1,0,0,0,0,0,0,1,0
6,2026-06-17T12:34:36.451,6.85,4.84,145.91,1,0,0,0,0,0,0,1,0
7,2026-06-17T12:34:36.643,8.21,5.44,121.85,0,0,0,0,0,0,0,0,0
8,2026-06-17T12:34:36.901,5.68,3.76,176.14,1,0,0,0,0,0,0,1,0
9,2026-06-17T12:34:37.150,5.73,4.02,174.59,1,0,0,0,0,0,0,1,0
10,2026-06-17T12:34:37.407,5.42,3.89,184.56,3,0,1,0,0,0,0,2,0
11,2026-06-17T12:34:37.708,4.9,3.43,204.05,3,0,1,0,1,0,0,1,0
12,2026-06-17T12:34:38.022,4.41,3.1,226.92,5,1,1,0,1,0,0,2,0
13,2026-06-17T12:34:38.313,4.8,3.47,208.54,7,1,1,1,1,0,0,3,0
14,2026-06-17T12:34:38.601,4.97,3.47,201.37,6,1,1,0,1,0,0,2,1
15,2026-06-17T12:34:38.926,4.24,3.12,236.0,5,1,1,1,1,0,0,1,0
16,2026-06-17T12:34:39.210,5.03,3.43,198.83,6,2,1,1,1,0,0,1,0
17,2026-06-17T12:34:39.511,4.69,3.4,213.13,5,1,1,1,1,0,0,1,0
18,2026-06-17T12:34:39.885,3.81,2.65,262.36,5,1,1,1,1,0,0,1,0
19,2026-06-17T12:34:40.346,2.84,2.19,352.14,6,1,1,1,1,0,0,2,0
20,2026-06-17T12:34:44.464,7.51,0.24,133.12,6,1,1,1,1,0,0,2,0
21,2026-06-17T12:34:44.865,3.28,2.51,304.56,5,1,1,1,1,0,0,1,0
22,2026-06-17T12:34:45.205,4.34,2.96,230.58,7,2,1,1,1,0,0,2,0
23,2026-06-17T12:34:45.486,5.09,3.5,196.28,6,2,1,1,1,0,0,1,0
24,2026-06-17T12:34:45.752,5.38,3.77,185.79,5,1,1,1,1,0,0,1,0
25,2026-06-17T12:34:46.015,5.38,3.86,186.02,6,2,1,1,1,0,0,1,0
26,2026-06-17T12:34:46.272,5.54,3.8,180.63,6,2,1,1,1,0,0,1,0
27,2026-06-17T12:34:46.480,7.3,4.81,136.91,6,2,1,1,1,0,0,1,0
28,2026-06-17T12:34:46.679,8.32,5.15,120.15,6,2,1,1,1,0,0,1,0
29,2026-06-17T12:34:46.871,8.17,5.07,122.39,6,2,1,1,1,0,0,1,0
30,2026-06-17T12:34:47.060,8.51,5.31,117.52,6,2,1,1,1,0,0,1,0
31,2026-06-17T12:34:47.245,9.31,5.61,107.36,6,2,1,1,1,0,0,1,0
32,2026-06-17T12:34:47.450,7.55,4.72,132.44,6,2,1,1,1,0,0,1,0
33,2026-06-17T12:34:47.719,5.16,3.73,193.97,6,2,1,1,1,0,0,1,0
34,2026-06-17T12:34:47.977,5.7,3.97,175.48,6,2,1,1,1,0,0,1,0
35,2026-06-17T12:34:48.216,6.26,4.11,159.86,6,2,1,1,1,0,0,1,0
36,2026-06-17T12:34:48.479,5.55,3.87,180.3,6,2,1,1,1,0,0,1,0
37,2026-06-17T12:34:48.769,4.93,3.44,202.98,6,2,1,1,1,0,0,1,0
38,2026-06-17T12:34:49.044,5.04,3.61,198.26,6,2,1,1,1,0,0,1,0
39,2026-06-17T12:34:49.304,5.57,3.81,179.65,6,2,1,1,1,0,0,1,0
40,2026-06-17T12:34:49.562,5.99,4.05,167.06,6,2,1,1,1,0,0,1,0
41,2026-06-17T12:34:49.839,5.05,3.49,198.17,6,2,1,1,1,0,0,1,0
42,2026-06-17T12:34:50.080,6.72,4.19,148.79,6,2,1,1,1,0,0,1,0
43,2026-06-17T12:34:50.741,1.75,1.52,572.17,6,2,1,1,1,0,0,1,0
44,2026-06-17T12:34:51.051,5.06,3.16,197.66,5,1,1,1,1,0,0,1,0
45,2026-06-17T12:34:51.386,3.83,2.98,261.02,6,2,1,1,1,0,0,1,0
46,2026-06-17T12:34:51.780,3.22,2.57,310.7,5,1,1,1,1,0,0,1,0
47,2026-06-17T12:34:52.110,3.94,2.98,253.51,7,2,1,1,1,0,0,2,0
48,2026-06-17T12:34:52.425,4.27,3.21,234.38,5,1,1,1,1,0,0,1,0
49,2026-06-17T12:34:52.697,5.28,3.74,189.34,6,2,1,1,1,0,0,1,0
50,2026-06-17T12:34:53.153,2.78,2.17,359.83,6,2,1,1,1,0,0,1,0
51,2026-06-17T12:34:53.503,3.93,2.84,254.55,6,2,1,1,1,0,0,1,0
52,2026-06-17T12:34:53.879,3.66,2.73,272.87,6,1,1,1,1,0,0,2,0
53,2026-06-17T12:34:54.281,3.21,2.42,311.9,6,2,1,1,1,0,0,1,0
54,2026-06-17T12:34:54.537,6.19,3.94,161.5,7,2,1,1,1,0,0,2,0
55,2026-06-17T12:34:54.798,5.73,3.97,174.64,6,1,1,1,1,0,0,2,0
56,2026-06-17T12:34:55.055,5.73,3.72,174.48,5,1,1,1,1,0,0,1,0
57,2026-06-17T12:34:55.320,5.32,3.78,187.96,6,1,1,1,1,0,0,2,0
58,2026-06-17T12:34:55.570,5.92,4.08,168.88,5,1,1,1,1,0,0,1,0
59,2026-06-17T12:34:55.854,4.72,3.45,211.92,5,1,1,1,1,0,0,1,0
60,2026-06-17T12:34:56.164,4.24,3.23,235.93,5,1,1,1,1,0,0,1,0
61,2026-06-17T12:34:56.471,4.42,3.34,226.15,6,2,1,1,1,0,0,1,0
62,2026-06-17T12:34:56.810,4.01,2.89,249.34,7,2,1,1,1,0,0,2,0
63,2026-06-17T12:34:57.003,8.68,5.21,115.26,6,2,1,1,1,0,0,1,0
64,2026-06-17T12:34:57.246,6.36,4.23,157.25,7,2,1,1,1,0,0,2,0
65,2026-06-17T12:34:57.477,6.52,4.19,153.47,6,2,1,1,1,0,0,1,0
66,2026-06-17T12:34:57.713,6.16,4.25,162.27,6,2,1,1,1,0,0,1,0
67,2026-06-17T12:34:58.041,4.3,3.12,232.7,6,1,1,1,1,0,0,2,0
68,2026-06-17T12:34:58.329,5.52,3.39,181.03,6,2,1,1,1,0,0,1,0
69,2026-06-17T12:34:58.617,5.05,3.45,197.95,6,2,1,1,1,0,0,1,0
70,2026-06-17T12:34:58.908,4.72,3.45,211.88,6,2,1,1,1,0,0,1,0
71,2026-06-17T12:34:59.208,4.7,3.41,212.79,6,2,1,1,1,0,0,1,0
72,2026-06-17T12:34:59.428,8.33,4.39,120.05,6,2,1,1,1,0,0,1,0
73,2026-06-17T12:34:59.615,9.3,5.38,107.52,6,2,1,1,1,0,0,1,0
74,2026-06-17T12:34:59.807,9.01,5.34,111.0,6,2,1,1,1,0,0,1,0
75,2026-06-17T12:35:00.009,8.63,4.95,115.87,6,2,1,1,1,0,0,1,0
76,2026-06-17T12:35:00.219,7.21,4.63,138.67,6,2,1,1,1,0,0,1,0
77,2026-06-17T12:35:00.407,9.64,5.43,103.74,6,2,1,1,1,0,0,1,0
78,2026-06-17T12:35:00.625,7.51,4.67,133.24,6,2,1,1,1,0,0,1,0
79,2026-06-17T12:35:00.821,8.72,4.94,114.65,6,2,1,1,1,0,0,1,0
80,2026-06-17T12:35:01.027,7.75,4.84,129.03,5,1,1,1,1,0,0,1,0
81,2026-06-17T12:35:01.252,6.77,4.55,147.7,5,1,1,1,1,0,0,1,0
82,2026-06-17T12:35:01.446,8.36,5.01,119.56,7,2,1,1,1,0,0,2,0
83,2026-06-17T12:35:01.637,8.71,5.26,114.86,6,2,1,1,1,0,0,1,0
84,2026-06-17T12:35:01.821,9.55,5.41,104.67,6,1,1,1,1,0,0,2,0
85,2026-06-17T12:35:02.008,8.93,5.49,112.03,7,2,1,1,1,0,0,2,0
86,2026-06-17T12:35:02.188,9.64,5.39,103.75,6,2,1,1,1,0,0,1,0
87,2026-06-17T12:35:02.403,7.65,4.76,130.79,5,1,1,1,1,0,0,1,0
88,2026-06-17T12:35:02.622,7.37,4.58,135.62,8,1,1,1,1,0,0,4,0
89,2026-06-17T12:35:02.831,7.85,4.67,127.31,6,1,1,1,1,0,0,2,0
90,2026-06-17T12:35:03.030,8.44,5.03,118.49,6,1,1,1,1,0,0,2,0
91,2026-06-17T12:35:03.236,8.69,4.99,115.05,8,2,1,1,1,1,0,2,0
92,2026-06-17T12:35:03.448,7.96,4.58,125.64,7,2,1,1,1,0,0,2,0
93,2026-06-17T12:35:03.799,3.79,2.85,263.69,7,2,1,1,1,0,0,2,0
94,2026-06-17T12:35:04.146,3.73,2.88,268.43,5,1,1,1,1,0,0,1,0
95,2026-06-17T12:35:04.400,6.2,4.02,161.4,7,1,1,1,1,1,0,2,0
96,2026-06-17T12:35:04.659,5.8,3.81,172.45,7,1,1,1,1,1,0,2,0
97,2026-06-17T12:35:04.895,6.26,4.25,159.77,7,2,1,1,1,0,0,2,0
98,2026-06-17T12:35:05.177,5.67,3.6,176.33,8,2,1,1,1,0,0,2,1
99,2026-06-17T12:35:05.444,5.49,3.7,182.19,8,2,1,1,1,0,0,2,1
100,2026-06-17T12:35:05.711,5.43,3.74,184.01,8,2,1,1,1,0,0,2,1
101,2026-06-17T12:35:05.976,5.53,3.76,180.88,8,1,2,1,1,0,0,2,1
102,2026-06-17T12:35:06.277,5.07,3.39,197.37,7,1,1,1,1,0,0,3,0
103,2026-06-17T12:35:06.613,4.12,2.92,242.99,8,2,1,1,1,0,0,2,1
104,2026-06-17T12:35:06.889,5.54,3.67,180.6,8,2,1,1,1,0,0,2,1
105,2026-06-17T12:35:07.138,6.12,3.95,163.39,6,1,1,1,1,0,0,2,0
106,2026-06-17T12:35:07.389,6.55,4.1,152.6,7,2,1,1,1,0,0,2,0
107,2026-06-17T12:35:07.637,6.28,4.01,159.28,8,2,1,1,1,0,0,2,1
108,2026-06-17T12:35:07.857,7.53,4.44,132.85,8,2,1,1,1,0,0,2,1
109,2026-06-17T12:35:08.113,5.94,3.93,168.35,9,3,1,1,1,0,0,2,1
110,2026-06-17T12:35:08.362,6.44,4.11,155.34,8,2,1,1,1,0,0,2,1
111,2026-06-17T12:35:08.615,6.21,3.88,161.14,7,1,1,1,1,0,0,2,1
112,2026-06-17T12:35:08.874,6.24,3.82,160.29,9,3,1,1,1,0,0,2,1
113,2026-06-17T12:35:09.202,4.11,3.04,243.59,8,2,1,1,1,0,0,2,1
114,2026-06-17T12:35:09.497,4.89,3.5,204.37,8,2,1,1,1,0,0,2,1
115,2026-06-17T12:35:09.703,8.27,4.65,120.99,7,1,1,1,1,0,0,2,1
116,2026-06-17T12:35:09.900,8.86,5.07,112.82,8,2,1,1,1,0,0,2,1
117,2026-06-17T12:35:10.097,8.66,5.09,115.41,7,1,1,1,1,0,0,2,1
118,2026-06-17T12:35:10.292,9.2,5.27,108.65,7,1,1,1,1,0,0,2,1
119,2026-06-17T12:35:10.481,9.32,5.16,107.27,7,1,1,1,1,0,0,2,1
120,2026-06-17T12:35:10.692,7.73,4.72,129.32,7,1,1,1,1,0,0,2,1
121,2026-06-17T12:35:10.899,7.8,4.87,128.17,7,1,1,1,1,0,0,2,1
122,2026-06-17T12:35:11.123,7.46,4.56,134.03,7,1,1,1,1,0,0,2,1
123,2026-06-17T12:35:11.382,5.87,3.79,170.26,7,1,1,1,1,0,0,2,1
124,2026-06-17T12:35:11.634,6.5,4.09,153.95,7,1,1,1,1,0,0,2,1
125,2026-06-17T12:35:11.912,5.36,3.48,186.42,8,1,1,1,1,1,0,2,1
126,2026-06-17T12:35:12.180,6.12,3.85,163.37,7,1,1,1,1,0,0,2,1
127,2026-06-17T12:35:12.436,5.9,3.79,169.38,7,1,1,1,1,0,0,2,1
128,2026-06-17T12:35:12.699,5.7,3.81,175.54,7,1,1,1,1,0,0,2,1
129,2026-06-17T12:35:12.995,4.97,3.41,201.1,7,1,1,1,1,0,0,2,1
