frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
0,2026-06-16T07:24:05.031,1.88,1.78,531.65,10,1,2,1,1,1,0,3,1
1,2026-06-16T07:24:05.084,81.64,18.55,12.25,10,1,2,1,1,1,0,3,1
2,2026-06-16T07:24:05.113,45.75,34.83,21.86,8,1,1,0,1,1,0,3,1
3,2026-06-16T07:24:05.132,86.19,54.25,11.6,9,1,2,0,1,1,0,3,1
4,2026-06-16T07:24:05.178,87.46,21.31,11.43,9,1,1,1,1,1,0,3,1
5,2026-06-16T07:24:05.196,90.64,57.76,11.03,9,1,2,0,1,1,0,3,1
6,2026-06-16T07:24:05.214,91.01,56.74,10.99,8,1,1,0,1,1,0,3,1
7,2026-06-16T07:24:05.250,69.66,27.8,14.36,8,1,1,0,1,1,0,3,1
8,2026-06-16T07:24:05.278,82.25,34.32,12.16,9,1,2,0,1,1,0,3,1
9,2026-06-16T07:24:05.309,89.87,32.32,11.13,9,1,1,1,1,1,0,3,1
10,2026-06-16T07:24:05.342,84.37,30.26,11.85,8,1,1,0,1,1,0,3,1
11,2026-06-16T07:24:05.374,90.04,32.19,11.11,8,1,1,0,1,1,0,3,1
12,2026-06-16T07:24:05.405,89.4,31.42,11.19,8,1,1,0,1,1,0,3,1
13,2026-06-16T07:24:05.437,89.94,31.35,11.12,9,1,2,0,1,1,0,3,1
14,2026-06-16T07:24:05.486,84.3,20.46,11.86,9,1,2,0,1,1,0,3,1
15,2026-06-16T07:24:05.518,84.96,31.34,11.77,9,1,2,0,1,1,0,3,1
16,2026-06-16T07:24:05.562,46.75,23.15,21.39,9,1,2,0,1,1,0,3,1
17,2026-06-16T07:24:05.582,87.59,48.76,11.42,9,1,2,0,1,1,0,3,1
18,2026-06-16T07:24:05.614,86.21,31.11,11.6,8,1,1,0,1,1,0,3,1
19,2026-06-16T07:24:05.654,50.69,24.53,19.73,8,1,1,0,1,1,0,3,1
