frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
0,2026-06-16T07:22:51.891,1.72,1.71,582.91,9,1,1,1,1,1,0,3,1
1,2026-06-16T07:22:51.932,77.53,24.72,12.9,9,1,1,1,1,1,0,3,1
2,2026-06-16T07:22:51.991,83.22,16.7,12.02,9,1,1,1,1,1,0,3,1
3,2026-06-16T07:22:52.071,85.3,12.5,11.72,9,1,1,1,1,1,0,3,1
4,2026-06-16T07:22:52.142,61.31,14.22,16.31,10,1,1,1,1,1,1,3,1
5,2026-06-16T07:22:52.201,83.74,16.95,11.94,9,1,1,1,1,1,0,3,1
6,2026-06-16T07:22:52.266,81.55,15.32,12.26,9,1,1,1,1,1,0,3,1
7,2026-06-16T07:22:52.328,82.38,16.05,12.14,9,1,1,1,1,1,0,3,1
8,2026-06-16T07:22:52.404,81.95,13.12,12.2,9,1,1,1,1,1,0,3,1
9,2026-06-16T07:22:52.482,82.1,12.81,12.18,9,1,1,1,1,1,0,3,1
10,2026-06-16T07:22:52.553,82.96,13.96,12.05,9,1,1,1,1,1,0,3,1
11,2026-06-16T07:22:52.609,81.81,17.98,12.22,9,1,1,1,1,1,0,3,1
12,2026-06-16T07:22:52.695,47.89,11.74,20.88,9,1,1,1,1,1,0,3,1
13,2026-06-16T07:22:52.737,81.87,23.03,12.21,9,1,1,1,1,1,0,3,1
14,2026-06-16T07:22:52.809,83.57,13.99,11.97,9,1,1,1,1,1,0,3,1
15,2026-06-16T07:22:52.885,71.39,13.31,14.01,9,1,1,1,1,1,0,3,1
16,2026-06-16T07:22:52.944,83.19,16.65,12.02,9,1,1,1,1,1,0,3,1
17,2026-06-16T07:22:53.015,55.59,14.1,17.99,9,1,1,1,1,1,0,3,1
18,2026-06-16T07:22:53.073,86.21,17.5,11.6,9,1,1,1,1,1,0,3,1
19,2026-06-16T07:22:53.137,89.15,15.77,11.22,9,1,1,1,1,1,0,3,1
20,2026-06-16T07:22:53.208,56.67,13.88,17.65,9,1,1,1,1,1,0,3,1
21,2026-06-16T07:22:53.279,88.6,13.97,11.29,9,1,1,1,1,1,0,3,1
22,2026-06-16T07:22:53.344,86.25,15.52,11.59,9,1,1,1,1,1,0,3,1
23,2026-06-16T07:22:53.415,57.95,14.18,17.25,9,1,1,1,1,1,0,3,1
24,2026-06-16T07:22:53.483,49.69,14.72,20.13,9,1,1,1,1,1,0,3,1
25,2026-06-16T07:22:53.536,86.52,18.92,11.56,9,1,1,1,1,1,0,3,1
26,2026-06-16T07:22:53.600,88.13,15.53,11.35,9,1,1,1,1,1,0,3,1
27,2026-06-16T07:22:53.681,87.8,12.4,11.39,9,1,1,1,1,1,0,3,1
28,2026-06-16T07:22:53.745,88.97,15.64,11.24,9,1,1,1,1,1,0,3,1
29,2026-06-16T07:22:53.824,51.21,12.54,19.53,9,1,1,1,1,1,0,3,1
30,2026-06-16T07:22:53.873,87.66,20.41,11.41,9,1,1,1,1,1,0,3,1
31,2026-06-16T07:22:53.952,51.38,12.58,19.46,9,1,1,1,1,1,0,3,1
32,2026-06-16T07:22:53.999,88.92,21.35,11.25,9,1,1,1,1,1,0,3,1
33,2026-06-16T07:22:54.097,50.82,10.25,19.68,9,1,1,1,1,1,0,3,1
34,2026-06-16T07:22:54.152,52.39,18.17,19.09,9,1,1,1,1,1,0,3,1
35,2026-06-16T07:22:54.208,89.61,17.66,11.16,9,1,1,1,1,1,0,3,1
36,2026-06-16T07:22:54.271,89.91,15.88,11.12,9,1,1,1,1,1,0,3,1
37,2026-06-16T07:22:54.341,63.33,14.46,15.79,9,1,1,1,1,1,0,3,1
38,2026-06-16T07:22:54.400,88.07,16.95,11.35,9,1,1,1,1,1,0,3,1
39,2026-06-16T07:22:54.482,85.75,12.25,11.66,9,1,1,1,1,1,0,3,1
40,2026-06-16T07:22:54.545,86.07,15.91,11.62,9,1,1,1,1,1,0,3,1
41,2026-06-16T07:22:54.606,88.73,16.34,11.27,9,1,1,1,1,1,0,3,1
42,2026-06-16T07:22:54.673,89.08,14.83,11.23,9,1,1,1,1,1,0,3,1
43,2026-06-16T07:22:54.740,65.98,14.85,15.16,9,1,1,1,1,1,0,3,1
44,2026-06-16T07:22:54.800,87.46,16.83,11.43,9,1,1,1,1,1,0,3,1
45,2026-06-16T07:22:54.871,54.43,14.0,18.37,9,1,1,1,1,1,0,3,1
46,2026-06-16T07:22:54.952,49.83,12.38,20.07,9,1,1,1,1,1,0,3,1
47,2026-06-16T07:22:55.007,91.49,18.26,10.93,9,1,1,1,1,1,0,3,1
48,2026-06-16T07:22:55.082,81.57,13.32,12.26,9,1,1,1,1,1,0,3,1
49,2026-06-16T07:22:55.137,84.83,18.11,11.79,9,1,1,1,1,1,0,3,1
50,2026-06-16T07:22:55.205,82.99,14.86,12.05,9,1,1,1,1,1,0,3,1
51,2026-06-16T07:22:55.264,88.32,16.96,11.32,9,1,1,1,1,1,0,3,1
52,2026-06-16T07:22:55.361,52.22,10.28,19.15,9,1,1,1,1,1,0,3,1
53,2026-06-16T07:22:55.409,89.65,20.9,11.15,10,1,1,1,1,1,0,4,1
54,2026-06-16T07:22:55.474,83.35,15.28,12.0,9,1,1,1,1,1,0,3,1
55,2026-06-16T07:22:55.538,82.02,15.82,12.19,9,1,1,1,1,1,0,3,1
56,2026-06-16T07:22:55.600,87.77,15.8,11.39,10,1,1,1,1,1,0,4,1
57,2026-06-16T07:22:55.665,86.77,15.54,11.52,9,1,1,1,1,1,0,3,1
58,2026-06-16T07:22:55.749,64.96,11.81,15.39,9,1,1,1,1,1,0,3,1
59,2026-06-16T07:22:55.807,89.77,17.47,11.14,9,1,1,1,1,1,0,3,1
60,2026-06-16T07:22:55.873,86.07,15.15,11.62,9,1,1,1,1,1,0,3,1
61,2026-06-16T07:22:55.936,88.11,16.01,11.35,9,1,1,1,1,1,0,3,1
62,2026-06-16T07:22:56.001,89.02,15.21,11.23,10,1,1,1,1,1,0,4,1
63,2026-06-16T07:22:56.071,57.17,14.32,17.49,10,1,1,1,1,1,0,4,1
64,2026-06-16T07:22:56.144,85.56,13.62,11.69,9,1,1,1,1,1,0,3,1
65,2026-06-16T07:22:56.208,89.12,15.55,11.22,9,1,1,1,1,1,0,3,1
66,2026-06-16T07:22:56.279,58.18,14.1,17.19,10,1,1,1,1,1,0,4,1
67,2026-06-16T07:22:56.352,51.82,13.77,19.3,9,1,1,1,1,1,0,3,1
68,2026-06-16T07:22:56.401,90.34,20.57,11.07,9,1,1,1,1,1,0,3,1
69,2026-06-16T07:22:56.476,77.67,13.23,12.88,10,1,1,1,1,1,0,4,1
70,2026-06-16T07:22:56.553,51.67,12.95,19.35,9,1,1,1,1,1,0,3,1
71,2026-06-16T07:22:56.624,50.66,14.14,19.74,10,1,1,1,1,1,0,4,1
72,2026-06-16T07:22:56.676,71.41,19.31,14.0,10,1,1,1,1,1,0,4,1
73,2026-06-16T07:22:56.737,86.86,16.28,11.51,10,1,1,1,1,1,0,4,1
74,2026-06-16T07:22:56.799,89.79,16.07,11.14,10,1,1,1,1,1,0,4,1
75,2026-06-16T07:22:56.864,86.93,15.44,11.5,10,1,1,1,1,1,0,4,1
76,2026-06-16T07:22:56.944,89.69,12.57,11.15,10,1,1,1,1,1,0,4,1
77,2026-06-16T07:22:57.009,90.02,15.47,11.11,10,1,1,1,1,1,0,4,1
78,2026-06-16T07:22:57.073,87.94,15.44,11.37,10,1,1,1,1,1,0,4,1
79,2026-06-16T07:22:57.136,88.92,15.91,11.25,10,1,1,1,1,1,0,4,1
80,2026-06-16T07:22:57.208,56.11,13.89,17.82,9,1,1,1,1,1,0,3,1
81,2026-06-16T07:22:57.264,89.77,17.81,11.14,9,1,1,1,1,1,0,3,1
82,2026-06-16T07:22:57.344,87.34,12.57,11.45,9,1,1,1,1,1,0,3,1
83,2026-06-16T07:22:57.417,51.57,13.68,19.39,9,1,1,1,1,1,0,3,1
84,2026-06-16T07:22:57.474,83.55,17.28,11.97,9,1,1,1,1,1,0,3,1
85,2026-06-16T07:22:57.537,85.25,16.33,11.73,9,1,1,1,1,1,0,3,1
86,2026-06-16T07:22:57.609,81.69,13.7,12.24,9,1,1,1,1,1,0,3,1
87,2026-06-16T07:22:57.664,90.1,18.09,11.1,9,1,1,1,1,1,0,3,1
88,2026-06-16T07:22:57.752,87.19,11.38,11.47,9,1,1,1,1,1,0,3,1
89,2026-06-16T07:22:57.818,51.68,15.38,19.35,9,1,1,1,1,1,0,3,1
90,2026-06-16T07:22:57.888,51.12,14.11,19.56,9,1,1,1,1,1,0,3,1
91,2026-06-16T07:22:57.936,86.65,20.96,11.54,9,1,1,1,1,1,0,3,1
92,2026-06-16T07:22:58.003,80.77,14.89,12.38,9,1,1,1,1,1,0,3,1
93,2026-06-16T07:22:58.064,90.81,16.2,11.01,9,1,1,1,1,1,0,3,1
94,2026-06-16T07:22:58.152,51.96,11.48,19.25,9,1,1,1,1,1,0,3,1
95,2026-06-16T07:22:58.216,59.48,15.75,16.81,9,1,1,1,1,1,0,3,1
96,2026-06-16T07:22:58.272,85.99,17.66,11.63,9,1,1,1,1,1,0,3,1
97,2026-06-16T07:22:58.338,88.9,15.32,11.25,9,1,1,1,1,1,0,3,1
98,2026-06-16T07:22:58.401,88.26,15.84,11.33,10,1,1,1,1,1,0,4,1
99,2026-06-16T07:22:58.466,83.46,15.28,11.98,10,1,1,1,1,1,0,4,1
100,2026-06-16T07:22:58.544,86.74,12.86,11.53,9,1,1,1,1,1,0,3,1
101,2026-06-16T07:22:58.612,66.61,14.58,15.01,9,1,1,1,1,1,0,3,1
102,2026-06-16T07:22:58.671,90.32,16.82,11.07,9,1,1,1,1,1,0,3,1
103,2026-06-16T07:22:58.735,89.43,15.82,11.18,9,1,1,1,1,1,0,3,1
104,2026-06-16T07:22:58.808,51.34,13.57,19.48,9,1,1,1,1,1,0,3,1
105,2026-06-16T07:22:58.875,82.18,15.26,12.17,9,1,1,1,1,1,0,3,1
106,2026-06-16T07:22:58.945,88.0,14.1,11.36,10,1,1,1,1,1,0,4,1
107,2026-06-16T07:22:59.026,51.44,12.38,19.44,9,1,1,1,1,1,0,3,1
108,2026-06-16T07:22:59.073,88.56,21.4,11.29,9,1,1,1,1,1,0,3,1
109,2026-06-16T07:22:59.153,51.48,12.42,19.42,9,1,1,1,1,1,0,3,1
110,2026-06-16T07:22:59.201,86.75,20.82,11.53,9,1,1,1,1,1,0,3,1
111,2026-06-16T07:22:59.264,89.71,15.93,11.15,9,1,1,1,1,1,0,3,1
112,2026-06-16T07:22:59.345,89.19,12.36,11.21,9,1,1,1,1,1,0,3,1
