tag,timestamp,model,device,source,imgsz,frames,avg_fps,min_fps,max_fps,avg_obj
laptop_11n_video,2026-06-16T00:57:30,runs\detect\runs\laptop_yolo11n\weights\best.pt,0,video,640,1433,71.08,42.33,84.68,4.54
laptop_11s_video,2026-06-16T00:58:39,runs\detect\runs\laptop_yolo11s\weights\best.pt,0,video,640,1433,76.08,45.67,84.4,4.31
laptop_11n_video,2026-06-16T01:03:14,runs\detect\runs\laptop_yolo11n\weights\best.pt,0,video,640,1184,57.67,41.43,87.93,3.74
laptop_11n_video,2026-06-16T01:09:13,runs\detect\runs\laptop_yolo11n\weights\best.pt,0,video,640,1811,78.29,46.81,84.86,2.86
laptop_11n_video,2026-06-16T01:10:31,runs\detect\runs\laptop_yolo11s\weights\best.pt,0,video,640,1811,76.31,45.92,86.64,5.28
laptop_11n_video,2026-06-16T01:12:51,runs\detect\runs\laptop_yolo11s\weights\best.pt,0,video,640,1242,75.55,44.67,84.99,3.37
laptop_11n_video,2026-06-16T01:18:54,runs\detect\runs\laptop_yolo11n\weights\best.pt,0,video,640,1242,79.21,44.94,87.45,3.63
laptop_11n_video,2026-06-16T01:20:20,runs\detect\runs\laptop_yolo11n\weights\best.pt,0,video,640,1811,77.93,47.49,84.33,2.86
laptop_11n_video,2026-06-16T01:21:28,runs\detect\runs\laptop_yolo11n\weights\best.pt,0,video,640,1184,70.81,44.97,87.03,3.74
test_v2,2026-06-16T06:36:33,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1433,75.2,46.27,82.97,9.21
test_v2,2026-06-16T06:37:49,runs\detect\runs\laptop_yolo11n_v2\weights\best.pt,0,video,640,1433,66.62,41.62,85.9,10.71
test_v2,2026-06-16T06:39:00,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1242,63.86,35.24,84.13,10.14
test_v2,2026-06-16T06:40:51,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1811,75.88,46.58,86.29,7.54
test_v2,2026-06-16T06:41:57,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1102,67.62,44.66,86.52,8.89
test_v2,2026-06-16T06:42:28,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,459,75.84,45.22,85.56,5.98
test_v2,2026-06-16T06:42:45,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,172,78.75,44.9,88.29,10.29
test_v2,2026-06-16T06:43:44,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1127,74.42,45.69,88.3,7.14
test_v2,2026-06-16T06:45:36,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1811,66.63,44.05,86.85,7.54
test_v2,2026-06-16T07:00:18,laptop_yolo11s_v2,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1811,64.79,20.4,7.54
test_s,2026-06-16T07:02:20,laptop_yolo11s_v2,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,522,66.76,19.16,9.82
test_s,2026-06-16T07:03:59,laptop_yolo11s_v2,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,video,640,1811,73.45,21.27,9.48
test_n,2026-06-16T07:06:15,laptop_yolo11n_v2,runs\detect\runs\laptop_yolo11n_v2\weights\best.pt,0,video,640,1811,75.92,21.37,10.57
stream_s,2026-06-16T07:21:50,laptop_yolo11s_v2,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,usb,640,890,85.61,15.13,9.2
stream_s,2026-06-16T07:22:32,laptop_yolo11n_v2,runs\detect\runs\laptop_yolo11n_v2\weights\best.pt,0,usb,640,194,74.88,15.39,9.45
stream_s,2026-06-16T07:23:47,laptop_yolo11s_v2,runs\detect\runs\laptop_yolo11s_v2\weights\best.pt,0,usb,640,1146,78.08,31.22,9.26
stream_n,2026-06-16T07:24:49,laptop_yolo11n_v2,runs\detect\runs\laptop_yolo11n_v2\weights\best.pt,0,usb,640,1332,87.61,31.25,9.26
