frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
0,2026-06-17T11:37:53.903,2.24,1.88,445.96,11,1,1,2,0,1,1,4,1
1,2026-06-17T11:37:54.950,2.74,0.95,365.15,11,1,1,2,0,1,1,4,1
2,2026-06-17T11:37:55.408,3.61,2.13,277.31,10,1,1,2,0,1,1,3,1
3,2026-06-17T11:37:55.835,3.42,2.36,292.54,11,1,1,2,0,1,1,4,1
4,2026-06-17T11:37:56.248,3.67,2.48,272.45,10,1,1,2,0,1,1,3,1
5,2026-06-17T11:37:56.636,3.69,2.49,271.2,10,1,1,2,0,1,1,3,1
6,2026-06-17T11:37:57.038,3.51,2.49,284.74,10,1,1,2,0,1,1,3,1
7,2026-06-17T11:37:57.429,3.73,2.63,268.35,10,1,1,2,0,1,1,3,1
8,2026-06-17T11:37:57.832,3.47,2.42,287.99,10,1,1,2,0,1,1,3,1
9,2026-06-17T11:37:58.216,3.72,2.6,268.6,10,1,1,2,0,1,1,3,1
10,2026-06-17T11:37:58.610,3.82,2.61,261.89,10,1,1,2,0,1,1,3,1
11,2026-06-17T11:37:59.000,3.65,2.49,273.96,10,1,1,2,0,1,1,3,1
12,2026-06-17T11:37:59.397,3.67,2.52,272.83,10,1,1,2,0,1,1,3,1
13,2026-06-17T11:37:59.820,3.48,2.47,287.21,10,1,1,2,0,1,1,3,1
14,2026-06-17T11:38:00.229,3.41,2.34,293.5,10,1,1,2,0,1,1,3,1
15,2026-06-17T11:38:00.629,3.55,2.5,282.04,10,1,1,2,0,1,1,3,1
16,2026-06-17T11:38:01.073,3.16,2.32,316.16,10,1,1,2,0,1,1,3,1
17,2026-06-17T11:38:01.485,3.37,2.35,296.33,10,1,1,2,0,1,1,3,1
18,2026-06-17T11:38:01.908,3.24,2.38,308.92,10,1,1,2,0,1,1,3,1
19,2026-06-17T11:38:02.349,3.22,2.32,310.15,10,1,1,2,0,1,1,3,1
20,2026-06-17T11:38:02.735,3.73,2.51,267.87,10,1,1,2,0,1,1,3,1
21,2026-06-17T11:38:03.138,3.51,2.48,285.29,10,1,1,2,0,1,1,3,1
22,2026-06-17T11:38:03.549,3.55,2.53,281.68,10,1,1,2,0,1,1,3,1
23,2026-06-17T11:38:03.954,3.44,2.37,290.35,10,1,1,2,0,1,1,3,1
24,2026-06-17T11:38:04.362,3.54,2.47,282.66,10,1,1,2,0,1,1,3,1
25,2026-06-17T11:38:04.770,3.61,2.5,277.36,10,1,1,2,0,1,1,3,1
26,2026-06-17T11:38:05.192,3.32,2.31,301.02,11,1,1,2,0,1,1,4,1
27,2026-06-17T11:38:05.589,3.56,2.53,281.29,10,1,1,2,0,1,1,3,1
28,2026-06-17T11:38:05.998,3.64,2.52,274.83,10,1,1,2,0,1,1,3,1
29,2026-06-17T11:38:06.413,3.36,2.33,297.25,10,1,1,2,0,1,1,3,1
30,2026-06-17T11:38:06.813,3.52,2.5,284.17,11,1,1,2,0,1,1,4,1
31,2026-06-17T11:38:07.196,3.87,2.7,258.42,11,1,1,2,0,1,1,4,1
32,2026-06-17T11:38:07.576,3.81,2.55,262.63,11,1,1,2,0,1,1,4,1
33,2026-06-17T11:38:08.005,3.27,2.33,305.64,11,1,1,2,0,1,1,4,1
34,2026-06-17T11:38:08.394,3.84,2.65,260.26,10,1,1,2,0,1,1,3,1
35,2026-06-17T11:38:08.783,3.7,2.5,270.22,10,1,1,2,0,1,1,3,1
36,2026-06-17T11:38:09.184,3.54,2.48,282.18,10,1,1,2,0,1,1,3,1
37,2026-06-17T11:38:09.596,3.54,2.5,282.71,10,1,1,2,0,1,1,3,1
38,2026-06-17T11:38:09.985,3.69,2.5,270.68,10,1,1,2,0,1,1,3,1
39,2026-06-17T11:38:10.428,3.07,2.26,326.14,10,1,1,2,0,1,1,3,1
40,2026-06-17T11:38:10.827,3.78,2.59,264.76,11,1,1,2,1,1,1,3,1
41,2026-06-17T11:38:11.245,3.29,2.31,303.98,11,1,1,2,1,1,1,3,1
42,2026-06-17T11:38:11.624,3.82,2.64,261.65,11,1,1,2,1,1,1,3,1
43,2026-06-17T11:38:12.029,3.64,2.54,274.53,11,1,1,2,1,1,1,3,1
44,2026-06-17T11:38:12.440,3.41,2.37,293.49,11,1,1,2,1,1,1,3,1
45,2026-06-17T11:38:12.841,3.5,2.49,285.9,11,1,1,1,1,1,1,4,1
46,2026-06-17T11:38:13.239,3.75,2.59,266.94,11,1,1,1,1,1,1,4,1
47,2026-06-17T11:38:13.624,3.78,2.52,264.35,11,1,1,1,1,1,1,4,1
48,2026-06-17T11:38:14.048,3.29,2.36,303.85,10,1,1,2,0,1,1,3,1
49,2026-06-17T11:38:14.467,3.45,2.46,290.06,10,1,1,2,0,1,1,3,1
50,2026-06-17T11:38:14.881,3.36,2.35,297.51,11,1,1,2,0,1,1,4,1
51,2026-06-17T11:38:15.272,3.64,2.57,274.64,10,1,1,2,0,1,1,3,1
