frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
0,2026-06-17T11:28:09.082,3.05,2.26,327.39,9,1,1,1,0,1,1,3,1
1,2026-06-17T11:28:12.970,4.45,0.26,224.78,9,1,1,1,0,1,1,3,1
2,2026-06-17T11:28:13.314,4.84,2.79,206.71,9,1,1,1,0,1,1,3,1
3,2026-06-17T11:28:13.593,6.46,3.59,154.71,9,1,1,1,0,1,1,3,1
4,2026-06-17T11:28:13.915,5.27,3.2,189.74,9,1,1,1,0,1,1,3,1
5,2026-06-17T11:28:14.267,4.43,2.84,225.48,9,1,1,1,0,1,1,3,1
6,2026-06-17T11:28:14.569,5.49,3.25,182.0,9,1,1,1,0,1,1,3,1
7,2026-06-17T11:28:14.903,4.77,2.99,209.64,10,1,1,2,0,1,1,3,1
8,2026-06-17T11:28:15.239,4.87,3.05,205.48,10,1,1,2,0,1,1,3,1
9,2026-06-17T11:28:15.521,6.21,3.41,160.94,9,1,1,1,0,1,1,3,1
10,2026-06-17T11:28:15.809,5.83,3.49,171.45,9,1,1,1,0,1,1,3,1
11,2026-06-17T11:28:16.122,5.87,3.37,170.4,9,1,1,1,0,1,1,3,1
12,2026-06-17T11:28:16.452,4.88,2.88,204.72,10,1,1,2,0,1,1,3,1
13,2026-06-17T11:28:16.770,5.11,3.15,195.57,10,1,1,2,0,1,1,3,1
14,2026-06-17T11:28:17.055,6.69,3.66,149.45,10,1,1,2,0,1,1,3,1
15,2026-06-17T11:28:17.392,4.73,2.86,211.59,10,1,1,2,0,1,1,3,1
16,2026-06-17T11:28:17.732,4.56,3.0,219.1,10,1,1,2,0,1,1,3,1
17,2026-06-17T11:28:18.020,6.06,3.52,165.04,10,1,1,2,0,1,1,3,1
18,2026-06-17T11:28:18.326,5.04,3.14,198.5,9,1,1,1,0,1,1,3,1
19,2026-06-17T11:28:18.616,5.72,3.48,174.69,10,1,1,1,0,1,1,4,1
20,2026-06-17T11:28:18.916,5.9,3.45,169.64,10,1,1,1,0,1,1,4,1
21,2026-06-17T11:28:19.183,6.68,3.58,149.67,10,1,1,1,0,1,1,4,1
22,2026-06-17T11:28:19.431,7.53,4.02,132.72,9,1,1,1,0,1,1,3,1
23,2026-06-17T11:28:19.714,6.32,3.72,158.25,10,1,1,1,0,1,1,4,1
24,2026-06-17T11:28:19.962,7.54,3.82,132.68,10,1,1,2,0,1,1,3,1
25,2026-06-17T11:28:20.237,6.48,3.64,154.24,10,1,1,2,0,1,1,3,1
26,2026-06-17T11:28:20.504,7.51,3.96,133.09,10,1,1,2,0,1,1,3,1
27,2026-06-17T11:28:20.776,6.29,3.5,159.01,10,1,1,2,0,1,1,3,1
28,2026-06-17T11:28:21.011,8.68,4.25,115.15,10,1,1,2,0,1,1,3,1
29,2026-06-17T11:28:21.307,5.84,3.51,171.23,10,1,1,2,0,1,1,3,1
30,2026-06-17T11:28:21.546,8.38,4.03,119.31,10,1,1,2,0,1,1,3,1
31,2026-06-17T11:28:21.797,7.16,3.95,139.63,10,1,1,2,0,1,1,3,1
32,2026-06-17T11:28:22.051,7.98,4.14,125.34,10,1,1,2,0,1,1,3,1
33,2026-06-17T11:28:22.318,6.48,3.57,154.25,9,1,1,1,0,1,1,3,1
34,2026-06-17T11:28:22.566,8.1,4.09,123.4,9,1,1,1,0,1,1,3,1
35,2026-06-17T11:28:22.846,6.48,3.68,154.33,9,1,1,1,0,1,1,3,1
36,2026-06-17T11:28:23.149,5.52,3.2,181.06,9,1,1,1,0,1,1,3,1
37,2026-06-17T11:28:23.439,5.88,3.47,170.04,10,1,1,1,1,1,1,3,1
38,2026-06-17T11:28:23.810,4.21,2.77,237.79,10,1,1,1,1,1,1,3,1
39,2026-06-17T11:28:24.117,5.32,3.17,188.1,10,1,1,1,1,1,1,3,1
40,2026-06-17T11:28:24.433,5.09,3.14,196.41,10,1,1,1,1,1,1,3,1
41,2026-06-17T11:28:24.741,5.64,3.43,177.26,10,1,1,1,1,1,1,3,1
42,2026-06-17T11:28:25.066,4.96,2.93,201.75,10,1,1,1,1,1,1,3,1
43,2026-06-17T11:28:25.363,5.7,3.37,175.41,10,1,1,1,1,1,1,3,1
44,2026-06-17T11:28:25.663,5.87,3.46,170.37,10,1,1,1,1,1,1,3,1
45,2026-06-17T11:28:25.969,5.35,3.12,187.04,10,1,1,1,1,1,1,3,1
46,2026-06-17T11:28:26.291,5.1,3.15,196.15,10,1,1,1,1,1,1,3,1
47,2026-06-17T11:28:26.618,5.12,3.13,195.47,10,1,1,1,1,1,1,3,1
48,2026-06-17T11:28:26.909,6.01,3.32,166.49,9,1,1,1,0,1,1,3,1
49,2026-06-17T11:28:27.202,5.9,3.49,169.48,9,1,1,1,0,1,1,3,1
50,2026-06-17T11:28:27.547,4.62,2.93,216.33,9,1,1,1,0,1,1,3,1
51,2026-06-17T11:28:27.869,4.92,3.01,203.38,9,1,1,1,0,1,1,3,1
52,2026-06-17T11:28:28.174,5.32,3.28,187.85,9,1,1,1,0,1,1,3,1
53,2026-06-17T11:28:28.504,5.06,3.12,197.73,10,1,1,2,0,1,1,3,1
54,2026-06-17T11:28:28.857,4.36,2.79,229.49,10,1,1,2,0,1,1,3,1
55,2026-06-17T11:28:29.183,4.86,3.03,205.95,10,1,1,2,0,1,1,3,1
56,2026-06-17T11:28:29.518,4.8,3.07,208.51,10,1,1,1,1,1,1,3,1
57,2026-06-17T11:28:29.835,5.12,3.06,195.25,10,1,1,1,1,1,1,3,1
58,2026-06-17T11:28:30.154,5.07,3.16,197.27,9,1,1,1,0,1,1,3,1
59,2026-06-17T11:28:30.488,4.94,3.06,202.57,10,1,1,1,0,1,1,4,1
60,2026-06-17T11:28:30.798,5.34,3.12,187.15,9,1,1,1,0,1,1,3,1
61,2026-06-17T11:28:31.087,5.79,3.46,172.6,9,1,1,1,0,1,1,3,1
62,2026-06-17T11:28:31.428,4.92,3.06,203.05,9,1,1,1,0,1,1,3,1
63,2026-06-17T11:28:31.730,5.64,3.21,177.45,9,1,1,1,0,1,1,3,1
64,2026-06-17T11:28:32.022,6.01,3.4,166.3,9,1,1,1,0,1,1,3,1
65,2026-06-17T11:28:32.329,5.73,3.38,174.46,9,1,1,1,0,1,1,3,1
66,2026-06-17T11:28:32.663,4.59,2.89,217.71,10,1,1,2,0,1,1,3,1
67,2026-06-17T11:28:32.985,4.95,3.1,202.1,10,1,1,2,0,1,1,3,1
68,2026-06-17T11:28:33.303,5.46,3.33,183.04,10,1,1,1,0,1,1,4,1
69,2026-06-17T11:28:33.616,5.08,3.01,196.85,9,1,1,1,0,1,1,3,1
70,2026-06-17T11:28:33.916,5.66,3.36,176.62,10,1,1,2,0,1,1,3,1
71,2026-06-17T11:28:34.259,4.77,3.02,209.61,10,1,1,2,0,1,1,3,1
72,2026-06-17T11:28:34.561,5.59,3.17,178.88,10,1,1,1,1,1,1,3,1
73,2026-06-17T11:28:34.885,4.84,3.07,206.8,10,1,1,1,1,1,1,3,1
74,2026-06-17T11:28:35.174,6.17,3.62,162.17,10,1,1,1,0,1,1,4,1
75,2026-06-17T11:28:35.470,5.97,3.27,167.42,11,1,1,2,0,1,1,4,1
76,2026-06-17T11:28:35.791,5.22,3.09,191.71,10,1,1,1,1,1,1,3,1
77,2026-06-17T11:28:36.128,5.2,3.14,192.32,10,1,1,1,1,1,1,3,1
78,2026-06-17T11:28:36.466,4.78,2.83,209.08,10,1,1,1,1,1,1,3,1
79,2026-06-17T11:28:36.823,4.5,2.79,222.37,9,1,1,1,0,1,1,3,1
80,2026-06-17T11:28:37.134,5.61,3.33,178.2,10,1,1,1,1,1,1,3,1
81,2026-06-17T11:28:37.464,4.9,2.93,204.03,10,1,1,1,1,1,1,3,1
82,2026-06-17T11:28:37.796,4.74,3.01,211.06,9,1,1,1,0,1,1,3,1
83,2026-06-17T11:28:38.079,6.75,3.71,148.15,9,1,1,1,0,1,1,3,1
84,2026-06-17T11:28:38.368,6.13,3.31,163.04,10,1,1,2,0,1,1,3,1
85,2026-06-17T11:28:38.675,5.58,3.27,179.36,9,1,1,1,0,1,1,3,1
86,2026-06-17T11:28:38.993,5.54,3.27,180.4,9,1,1,1,0,1,1,3,1
87,2026-06-17T11:28:39.341,4.35,2.75,229.78,10,1,1,2,0,1,1,3,1
88,2026-06-17T11:28:39.635,5.87,3.42,170.39,10,1,1,2,0,1,1,3,1
89,2026-06-17T11:28:39.967,5.21,3.15,192.03,10,1,1,2,0,1,1,3,1
90,2026-06-17T11:28:40.283,5.1,3.01,195.92,11,1,1,2,0,1,1,4,1
91,2026-06-17T11:28:40.591,5.28,3.28,189.39,10,1,1,2,0,1,1,3,1
92,2026-06-17T11:28:40.982,5.66,2.62,176.66,10,1,1,2,0,1,1,3,1
93,2026-06-17T11:28:41.286,5.57,3.15,179.38,10,1,1,2,0,1,1,3,1
